!
!Date: 09/26/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
ISY1	YJR050W	viable 	classical genetics	classical genetics	null	Other			Dix I, et al. (1999) PMID:10094305
ITC1	YGL133W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ITR1	YDR497C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ITR1	YDR497C	viable 	systematic mutation set	large-scale survey	null	S288C			Huang RY, et al. (2005) PMID:15994967
ITR2	YOL103W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ITT1	YML068W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ITT1	YML068W	viable 	classical genetics	classical genetics	null	S288C			Stevenson LF, et al. (2001) PMID:11274415
IVY1	YDR229W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
IWR1	YDL115C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
IXR1	YKL032C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
IXR1	YKL032C	viable 	systematic mutation set	large-scale survey	null	S288C			Huang RY, et al. (2005) PMID:15994967
IZH1	YDR492W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
IZH2	YOL002C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
IZH3	YLR023C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
IZH4	YOL101C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
IZH4	YOL101C	viable 	classical genetics	classical genetics	null	S288C			Seron K, et al. (1999) PMID:10028187
JEM1	YJL073W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JEN1	YKL217W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JHD1	YER051W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JHD2	YJR119C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JHD2	YJR119C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
JID1	YPR061C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JIP3	YLR331C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JIP4	YDR475C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JJJ1	YNL227C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JJJ2	YJL162C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JJJ2	YJL162C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
JJJ3	YJR097W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JLP1	YLL057C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JLP1	YLL057C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
JLP2	YMR132C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JNM1	YMR294W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
JSN1	YJR091C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAE1	YKR038C	viable 	classical genetics	classical genetics	null	W303		Details: viable but grows poorly at all temperatures 	Kisseleva-Romanova E, et al. (2006) PMID:16874308
KAE1	YKR038C	viable 	classical genetics	classical genetics	null	W303		Details: null mutant is extremely slow-growing 	Srinivasan M, et al. (2011) PMID:21183954
KAP104	YBR017C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAP114	YGL241W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAP120	YPL125W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAP122	YGL016W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAP123	YER110C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAR3	YPR141C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAR4	YCL055W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAR5	YMR065W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KAR9	YPL269W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KCC4	YCL024W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KCH1	YJR054W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KCS1	YDR017C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KDX1	YKL161C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KEL1	YHR158C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KEL2	YGR238C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KEL2	YGR238C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
KEL3	YPL263C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KES1	YPL145C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KES1	YPL145C	viable 	classical genetics	classical genetics	null				Beh CT, et al. (2001) PMID:11238399
KEX1	YGL203C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KEX2	YNL238W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KGD1	YIL125W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KGD2	YDR148C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KHA1	YJL094C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KIN1	YDR122W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KIN2	YLR096W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KIN2	YLR096W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
KIN3	YAR018C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KIN4	YOR233W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KIN4	YOR233W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
KIN82	YCR091W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KIP1	YBL063W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KIP2	YPL155C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KIP3	YGL216W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KKQ8	YKL168C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KNH1	YDL049C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KNS1	YLL019C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KNS1	YLL019C	viable 	classical genetics	classical genetics	null	S288C			Padmanabha R, et al. (1991) PMID:1910150
KRE1	YNL322C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KRE2	YDR483W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KRE28	YDR532C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KRE6	YPR159W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KSP1	YHR082C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KSS1	YGR040W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KTI11	YBL071W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
KTI12	YKL110C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KTI12	YKL110C	viable 	classical genetics	classical genetics	null	Other			Butler AR, et al. (1994) PMID:8065362
KTR1	YOR099W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KTR2	YKR061W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KTR3	YBR205W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KTR4	YBR199W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KTR5	YNL029C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KTR5	YNL029C	viable 	classical genetics	classical genetics	null	SEY6210			Lussier M, et al. (1997) PMID:9090056
KTR6	YPL053C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
KTR6	YPL053C	viable 	classical genetics	classical genetics	null	SEY6210			Lussier M, et al. (1997) PMID:9090056
KTR7	YIL085C	viable 	classical genetics	classical genetics	null	SEY6210			Lussier M, et al. (1997) PMID:9090056
KXD1	YGL079W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAA1	YJL207C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAC1	YKL008C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAC1	YKL008C	viable 	classical genetics	classical genetics	null	W303			Barz WP and Walter P (1999) PMID:10198056
LAG1	YHL003C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAG1	YHL003C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
LAG1	YHL003C	viable 	classical genetics	classical genetics	null	W303			Barz WP and Walter P (1999) PMID:10198056
LAG2	YOL025W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAG2	YOL025W	viable 	classical genetics	classical genetics	null	CEN.PK			Rad MR, et al. (1997) PMID:9090058
LAM1	YHR155W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAM4	YHR080C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAM5	YFL042C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAM6	YLR072W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAM6	YLR072W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
LAP2	YNL045W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAP3	YNL239W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAS17	YOR181W	viable 	classical genetics	classical genetics	null	S288C			Li R (1997) PMID:9024694
LAS21	YJL062W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LAT1	YNL071W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LCB3	YJL134W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LCB3	YJL134W	viable 	classical genetics	classical genetics	null	S288C			Qie L, et al. (1997) PMID:9195906
LCB4	YOR171C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LCB4	YOR171C	viable 	classical genetics	classical genetics	null	JK9-3d			Nagiec MM, et al. (1998) PMID:9677363
LCB5	YLR260W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LCB5	YLR260W	viable 	classical genetics	classical genetics	null	JK9-3d			Nagiec MM, et al. (1998) PMID:9677363
LCL1	YPL056C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LCL2	YLR104W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LCL3	YGL085W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDB16	YCL005W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDB17	YDL146W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDB18	YLL049W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDB18	YLL049W	viable 	classical genetics	classical genetics	null	S288C			Ahmed Khan S, et al. (2000) PMID:11113969
LDB19	YOR322C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDB19	YOR322C	viable 	classical genetics	classical genetics	null	CEN.PK			Pearson BM, et al. (1998) PMID:9559547
LDB7	YBL006C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDH1	YBR204C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDS1	YAL018C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
LDS1	YAL018C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDS2	YOL047C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LDS2	YOL047C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
LEA1	YPL213W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LEA1	YPL213W	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
LEE1	YPL054W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LEM3	YNL323W	viable 	classical genetics	classical genetics	null	S288C			Maftahi M, et al. (1998) PMID:9544246
LEM3	YNL323W	viable 	classical genetics	classical genetics	null	W303			Maftahi M, et al. (1998) PMID:9544246
LEO1	YOR123C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LEU1	YGL009C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LEU3	YLR451W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LEU4	YNL104C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LEU9	YOR108W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LGE1	YPL055C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LHP1	YDL051W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LHS1	YKL073W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LHS1	YKL073W	viable 	classical genetics	classical genetics	null	W303			Tyson JR and Stirling CJ (2000) PMID:11101517
LIA1	YJR070C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LIF1	YGL090W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LIF1	YGL090W	viable 	classical genetics	classical genetics	null	S288C			Herrmann G, et al. (1998) PMID:9670033
LIH1	YJR107W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LIH1	YJR107W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
LIN1	YHR156C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LIN1	YHR156C	viable 	classical genetics	classical genetics	null	Other			Stevens SW, et al. (2001) PMID:11720284
LIP2	YLR239C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LIP5	YOR196C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LMO1	YLL007C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LNP1	YHR192W	viable 	classical genetics	classical genetics	null	S288C			Stevenson LF, et al. (2001) PMID:11274415
LOA1	YPR139C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LOA1	YPR139C	viable 	classical genetics	classical genetics	null	S288C			Hedman JM, et al. (2007) PMID:17543551
LOC1	YFR001W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LOH1	YJL038C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LOH1	YJL038C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
LOS1	YKL205W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LOT5	YKL183W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LOT6	YLR011W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LPD1	YFL018C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LPL1	YOR059C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LPP1	YDR503C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LPX1	YOR084W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LRE1	YCL051W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LRG1	YDL240W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LRG1	YDL240W	viable 	classical genetics	classical genetics	null	W303			Muller L, et al. (1994) PMID:8065929
LRO1	YNR008W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LRO1	YNR008W	viable 	classical genetics	classical genetics	null	S288C			Volckaert G, et al. (2003) PMID:12489128
LRP1	YHR081W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LRS4	YDR439W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSB1	YGR136W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSB3	YFR024C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSB3	YFR024C-A	viable 	classical genetics	classical genetics	null	Other			Robertson AS, et al. (2009) PMID:19158382
LSB5	YCL034W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSB6	YJL100W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSB6	YJL100W	viable 	classical genetics	classical genetics	null	SEY6210			Han GS, et al. (2002) PMID:12361950
LSC1	YOR142W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSC2	YGR244C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSG1	YGL099W	viable 	classical genetics	classical genetics	null	Other			Lillo JA, et al. (2000) PMID:10669874
LSM1	YJL124C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSM1	YJL124C	viable 	classical genetics	classical genetics	null	Other			Mayes AE, et al. (1999) PMID:10428970
LSM12	YHR121W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSM6	YDR378C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LSM6	YDR378C	viable 	classical genetics	classical genetics	null	Other			Mayes AE, et al. (1999) PMID:10428970
LSM6	YDR378C	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
LSM7	YNL147W	viable 	classical genetics	classical genetics	null	Other			Mayes AE, et al. (1999) PMID:10428970
LSM7	YNL147W	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
LSO1	YJR005C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
LSO2	YGR169C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
LSP1	YPL004C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LST4	YKL176C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LST7	YGR057C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LTE1	YAL024C	viable 	classical genetics	classical genetics	null	Other			Barton AB and Kaback DB (1994) PMID:8144453
LTP1	YPR073C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LTV1	YKL143W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYP1	YNL268W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYS1	YIR034C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYS14	YDR034C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYS2	YBR115C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYS20	YDL182W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYS21	YDL131W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYS4	YDR234W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYS5	YGL154C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
LYS9	YNR050C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAC1	YMR021C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAD1	YGL086W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAD2	YJL030W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAD2	YJL030W	viable 	classical genetics	classical genetics	null	W303			Chen RH, et al. (1999) PMID:10436016
MAD2	YJL030W	viable 	classical genetics	classical genetics	unspecified Allele: mad2-1 W94*	W303			Chen RH, et al. (1999) PMID:10436016
MAD3	YJL013C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAE1	YKL029C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAE1	YKL029C	viable 	classical genetics	classical genetics	null	S288C			Wysocki R, et al. (1999) PMID:10095102
MAF1	YDR005C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAG1	YER142C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAG2	YLR427W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAK10	YEL053C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAK3	YPR051W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAK3	YPR051W	viable 	classical genetics	classical genetics	null	Other			Polevoda B, et al. (1999) PMID:10545125
MAK31	YCR020C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAK32	YCR019W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAL13	YGR288W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAL31	YBR298C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAL33	YBR297W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAM1	YER106W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAM1	YER106W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MAM3	YOL060C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAM3	YOL060C	viable 	classical genetics	classical genetics	null				Yang M, et al. (2005) PMID:15498024
MAM33	YIL070C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAM33	YIL070C	viable 	classical genetics	classical genetics	null	W303			Seytter T, et al. (1998) PMID:9559539
MAM33	YIL070C	viable 	classical genetics	classical genetics	null				Muta T, et al. (1997) PMID:9305894
MAN2	YNR073C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAP1	YLR244C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MAP2	YBL091C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MBA1	YBR185C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
