# File name: C_albicans_SC5314_S_cerevisiae_best_hits.txt
# Organism: Candida albicans SC5314
# Genome version: A22-s07-m01-r18
# Date created: Fri Jan 20 11:27:45 2017
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
C3_03580C_A	GTT13	CAL0000173921	YIR038C	GTT1	S000001477
CR_08310C_A		CAL0000189852	YLL057C	JLP1	S000003980
C5_02860C_A	GRP2	CAL0000189861	YOL151W	GRE2	S000005511
C4_01850C_A	PDC12	CAL0000189869	YLR044C	PDC1	S000004034
CR_00970W_A	ATO9	CAL0000189921	YNR002C	ATO2	S000005285
C3_06330W_A	TSA1B	CAL0000189947	YML028W	TSA1	S000004490
C2_06460W_A	RTA3	CAL0000189971	YOR049C	RSB1	S000005575
C6_00300C_A	STV1	CAL0000189983	YOR270C	VPH1	S000005796
C3_07090W_A	HHT1	CAL0000190019	YNL031C	HHT2	S000004976
C1_04360C_A		CAL0000190017	YDL181W	INH1	S000002340
C2_01920C_A		CAL0000177360	YOR081C	TGL5	S000005607
C2_02880C_A	EBP7	CAL0000190145	YPL171C	OYE3	S000006092
CR_06870C_A		CAL0000190198	YNR060W	FRE4	S000005343
C7_03960C_A	UME1	CAL0000190335	YEL056W	HAT2	S000000782
C2_10540W_A		CAL0000190333	YGL035C	MIG1	S000003003
C3_05550C_A		CAL0000190365	YDR304C	CPR5	S000002712
C1_11950W_A		CAL0000190381	YJR111C	YJR111C	S000003872
C7_00880C_A		CAL0000190423	YDR505C	PSP1	S000002913
C1_04450C_A	FMA1	CAL0000190455	YIR035C	YIR035C	S000001474
C6_03540W_A		CAL0000190473	YOL119C	MCH4	S000005479
C1_13440C_A	OFI1	CAL0000190493	YNL027W	CRZ1	S000004972
C3_02510C_A	SAP8	CAL0000190503	YLR120C	YPS1	S000004110
C2_02680W_A	PDR17	CAL0000190551	YNL231C	PDR16	S000005175
C6_03520C_A		CAL0000190573	YLR148W	PEP3	S000004138
CR_02900W_A		CAL0000190601	YPR194C	OPT2	S000006398
C1_11760C_A		CAL0000190607	YGR235C	MIC26	S000003467
C4_06390W_A	SOU1	CAL0000190633	YNL202W	SPS19	S000005146
C6_01430C_A	FRP6	CAL0000190637	YNR002C	ATO2	S000005285
C2_06890C_A		CAL0000190671	YJR096W	YJR096W	S000003857
C3_05730C_A	LAC1	CAL0000190688	YKL008C	LAC1	S000001491
C2_09570C_A		CAL0000190719	YNL111C	CYB5	S000005055
C1_09080C_A	PGA6	CAL0000190753	YLR110C	CCW12	S000004100
C3_00930W_A	ATO2	CAL0000190767	YNR002C	ATO2	S000005285
C1_07350C_A	GPX3	CAL0000190813	YBR244W	GPX2	S000000448
C1_03620C_A		CAL0000190913	YJL190C	RPS22A	S000003726
C1_10720C_A	MNN2	CAL0000190919	YBR015C	MNN2	S000000219
CR_00070W_A	BNR1	CAL0000190952	YNL271C	BNI1	S000005215
C5_04130C_A	CHT2	CAL0000190954	YLR286C	CTS1	S000004276
C1_08230C_A	PLB5	CAL0000190956	YOL011W	PLB3	S000005371
C7_01320W_A		CAL0000190964	YDR147W	EKI1	S000002554
CR_08000C_A		CAL0000191059	YJL060W	BNA3	S000003596
C4_02240C_A		CAL0000191147	YMR200W	ROT1	S000004813
C3_00710W_A	CHS8	CAL0000191191	YNL192W	CHS1	S000005136
C3_01580W_A	ZCF7	CAL0000191205	YPR196W	YPR196W	S000006400
C4_03350C_A		CAL0000191273	YNR074C	AIF1	S000005357
C6_03600C_A		CAL0000191295	YDR402C	DIT2	S000002810
C4_00440C_A	OPT7	CAL0000191307	YPR194C	OPT2	S000006398
C3_02270W_A		CAL0000191311	YIL156W-B	YIL156W-B	S000028511
C3_05840W_A		CAL0000191368	YHR176W	FMO1	S000001219
CM_00520W	COX3B	CAL0000191504	Q0275	COX3	S000007283
C2_08240W_A	ORF298	CAL0000191508	YIL082W-A	YIL082W-A	S000003537
C4_05780C_A	CFL2	CAL0000191531	YNR060W	FRE4	S000005343
C5_03770C_A		CAL0000191596	YOR388C	FDH1	S000005915
C5_01850C_A	ZNC1	CAL0000191657	YMR019W	STB4	S000004621
C1_00630W_A		CAL0000191678	YDL174C	DLD1	S000002333
C3_05590C_A	BAT22	CAL0000191697	YJR148W	BAT2	S000003909
C6_02870W_A	RNH1	CAL0000191701	YMR234W	RNH1	S000004847
C5_02460C_A	ECM331	CAL0000191729	YBR078W	ECM33	S000000282
C1_12730W_A	RVS162	CAL0000191779	YCR009C	RVS161	S000000602
C2_08540C_A		CAL0000191789	YOR064C	YNG1	S000005590
C2_04470W_A	ADH3	CAL0000191795	YAL060W	BDH1	S000000056
C3_05350C_A	SMI1B	CAL0000191868	YGR229C	SMI1	S000003461
C1_07210C_A		CAL0000191891	YGR121C	MEP1	S000003353
C5_05180W_A		CAL0000191996	YGR263C	SAY1	S000003495
C1_14020W_A		CAL0000192042	YDL135C	RDI1	S000002294
C2_01300C_A	MNN24	CAL0000192056	YBR015C	MNN2	S000000219
C3_01540W_A		CAL0000192266	YNR018W	RCF2	S000005301
C5_03500W_A	GAP6	CAL0000192270	YKR039W	GAP1	S000001747
C1_04870W_A	SAP7	CAL0000192370	YLR121C	YPS3	S000004111
C1_01810C_A	UGA2	CAL0000192412	YBR006W	UGA2	S000000210
C2_07570W_A	RNR22	CAL0000192458	YJL026W	RNR2	S000003563
C1_10290W_A	GCA1	CAL0000192588	YBR229C	ROT2	S000000433
C7_03040W_A		CAL0000192634	YJL097W	PHS1	S000003633
CR_01640C_A		CAL0000192655	YGL167C	PMR1	S000003135
C3_06160C_A		CAL0000192673	YER126C	NSA2	S000000928
C2_00720C_A	FGR15	CAL0000192685	YDL020C	RPN4	S000002178
C4_02030W_A	RFX2	CAL0000192725	YLR176C	RFX1	S000004166
C2_10580W_A	UBC15	CAL0000192881	YDR092W	UBC13	S000002499
C4_05840W_A	FRE3	CAL0000192959	YKL220C	FRE2	S000001703
C1_11690W_A		CAL0000193023	YER040W	GLN3	S000000842
C7_03090C_A	SSP96	CAL0000193063	YHR176W	FMO1	S000001219
C4_06820C_A	CZF1	CAL0000193101	YDR207C	UME6	S000002615
C4_00700C_A		CAL0000193109	YDL236W	PHO13	S000002395
C7_00250C_A		CAL0000193127	YIR001C	SGN1	S000001440
C5_01880C_A		CAL0000193157	YBL102W	SFT2	S000000198
C3_02800W_A	ADH4	CAL0000193195	YMR226C	YMR226C	S000004839
C1_06270W_A		CAL0000193197	YLR241W	CSC1	S000004231
C4_00250W_A		CAL0000193233	YER023C-A	YER023C-A	S000028622
C6_02720C_A		CAL0000193295	YLR148W	PEP3	S000004138
C1_08850C_A	AFG1	CAL0000193419	YEL052W	AFG1	S000000778
C4_05770C_A	CFL1	CAL0000193490	YKL220C	FRE2	S000001703
C2_05770W_A		CAL0000193615	YLL054C	YLL054C	S000003977
C2_07840W_A		CAL0000193619	YHR176W	FMO1	S000001219
C1_11610C_A		CAL0000193625	YNL277W	MET2	S000005221
C1_10070C_A	MNN23	CAL0000193748	YBR015C	MNN2	S000000219
C6_03030W_A	SAP5	CAL0000193807	YLR121C	YPS3	S000004111
C3_02140C_A		CAL0000193825	YKL046C	DCW1	S000001529
C2_04830W_A		CAL0000193865	YOR059C	LPL1	S000005585
C6_04370W_A		CAL0000193876	YJR040W	GEF1	S000003801
C1_13850C_A	DAL7	CAL0000193894	YJR152W	DAL5	S000003913
C3_04100W_A		CAL0000200628	YLL048C	YBT1	S000003971
C1_10020W_A	SFU1	CAL0000194032	YER040W	GLN3	S000000842
C2_06440C_A		CAL0000194068	YLR251W	SYM1	S000004241
CR_04250W_A		CAL0000194121	YHR124W	NDT80	S000001166
CR_03690W_A		CAL0000194129	YLL029W	FRA1	S000003952
C6_04380W_A	ALS2	CAL0000194141	YJR004C	SAG1	S000003764
C7_02100W_A		CAL0000194232	YDR101C	ARX1	S000002508
C4_06440C_A		CAL0000194240	YML038C	YMD8	S000004502
C1_00280C_A	RFC52	CAL0000194446	YBR087W	RFC5	S000000291
C5_02380W_A		CAL0000194450	YKR070W	YKR070W	S000001778
C5_04940W_A		CAL0000194458	YGR287C	IMA1	S000003519
C1_12930C_A		CAL0000194465	YFL040W	YFL040W	S000001854
C3_04200W_A	AFP99	CAL0000194495	YPL111W	CAR1	S000006032
C1_10450W_A	GLY1	CAL0000194550	YEL046C	GLY1	S000000772
C3_06850W_A	FCR1	CAL0000194585	YMR280C	CAT8	S000004893
C1_02170C_A	GAL102	CAL0000194591	YBR019C	GAL10	S000000223
C2_07980W_A		CAL0000194615	YNL168C	FMP41	S000005112
C4_03620C_A	CDR3	CAL0000194684	YOR153W	PDR5	S000005679
CR_07730W_A	HGT14	CAL0000194719	YHR092C	HXT4	S000001134
C3_03720W_A	GTT11	CAL0000194770	YIR038C	GTT1	S000001477
CR_10070C_A	ZCF39	CAL0000194802	YHR178W	STB5	S000001221
CR_07670W_A		CAL0000194822	YKL040C	NFU1	S000001523
C6_03500C_A	SAP4	CAL0000194858	YLR121C	YPS3	S000004111
CR_07490C_A	GLK4	CAL0000194883	YCL040W	GLK1	S000000545
C5_02920W_A		CAL0000194928	YHL021C	AIM17	S000001013
CR_01630C_A		CAL0000194965	YGL167C	PMR1	S000003135
CR_07170W_A		CAL0000195024	YNL202W	SPS19	S000005146
CM_00160C	ATP6	CAL0000195054	Q0085	ATP6	S000007268
C6_00810C_A		CAL0000195060	YDR463W	STP1	S000002871
C7_02160W_A		CAL0000195119	YFL036W	RPO41	S000001858
C3_03550C_A	ULP1	CAL0000195141	YPL020C	ULP1	S000005941
C7_02010C_A		CAL0000195155	YMR110C	HFD1	S000004716
C2_10070W_A		CAL0000195177	YOR388C	FDH1	S000005915
C7_03440W_A	SNG4	CAL0000195196	YGR197C	SNG1	S000003429
C2_10620W_A	RPS4A	CAL0000195247	YJR145C	RPS4A	S000003906
C1_07640C_A		CAL0000195277	YLR248W	RCK2	S000004238
CR_02060W_A		CAL0000195503	YKL128C	PMU1	S000001611
C5_04800W_A	CRH12	CAL0000195515	YGR189C	CRH1	S000003421
C5_03460C_A		CAL0000195544	YCR044C	PER1	S000000640
C3_06780C_A	SLF1	CAL0000195579	YCL037C	SRO9	S000000542
C1_00670C_A	UGA32	CAL0000195594	YDL170W	UGA3	S000002329
C7_02070W_A	GRX1	CAL0000195719	YDR513W	GRX2	S000002921
C7_01540W_A	ALK6	CAL0000195753	YMR015C	ERG5	S000004617
C1_02740C_A		CAL0000195751	YPL015C	HST2	S000005936
C2_08510W_A		CAL0000195938	YER182W	FMP10	S000000984
C6_00840W_A	GPX2	CAL0000195942	YIR037W	HYR1	S000001476
C2_06710W_A		CAL0000195964	YGL039W	YGL039W	S000003007
C4_04770C_A	MNN22	CAL0000196006	YBR015C	MNN2	S000000219
C3_06450W_A	GLG2	CAL0000196029	YKR058W	GLG1	S000001766
CM_00330W	COB	CAL0000196083	Q0105	COB	S000007270
C4_01070W_A	HGT17	CAL0000196104	YNR072W	HXT17	S000005355
C1_03150C_A		CAL0000196224	YLR326W	YLR326W	S000004318
C3_05450C_A		CAL0000196292	YDR028C	REG1	S000002435
C3_05630W_A	GTT1	CAL0000196298	YIR038C	GTT1	S000001477
C6_00470C_A	FET99	CAL0000196488	YMR058W	FET3	S000004662
C6_01420C_A		CAL0000196564	YPL171C	OYE3	S000006092
C5_03690W_A		CAL0000196568	YGR263C	SAY1	S000003495
CR_00930W_A	ATO10	CAL0000196614	YCR010C	ADY2	S000000603
C3_03070W_A		CAL0000196638	YOR378W	AMF1	S000005905
C2_01880C_A	ZCF6	CAL0000196652	YIL130W	ASG1	S000001392
CR_07800W_A	SAP2	CAL0000196689	YLR121C	YPS3	S000004111
C4_05940W_A	PPS1	CAL0000196786	YBR276C	PPS1	S000000480
C3_05080W_A		CAL0000196932	YNL134C	YNL134C	S000005078
C3_07560W_A	TCC1	CAL0000196954	YBR112C	CYC8	S000000316
C2_01570W_A		CAL0000196992	YDR071C	PAA1	S000002478
C7_01910C_A		CAL0000197002	YOR254C	SEC63	S000005780
CR_10200W_A		CAL0000197028	YKL128C	PMU1	S000001611
C6_04650W_A		CAL0000197151	YBR074W	PFF1	S000000278
C2_06870C_A	PST1	CAL0000197194	YDR032C	PST2	S000002439
C6_04620C_A	NAG4	CAL0000197244	YPR156C	TPO3	S000006360
C4_02070W_A	PHO114	CAL0000197250	YAR071W	PHO11	S000000094
C2_05180W_A	WH11	CAL0000197297	YFL014W	HSP12	S000001880
C2_05700W_A	OSM1	CAL0000197318	YJR051W	OSM1	S000003812
C6_00480C_A	FET31	CAL0000197324	YMR058W	FET3	S000004662
C3_04890W_A	CDR2	CAL0000197349	YOR153W	PDR5	S000005679
CR_02400W_A	PHO112	CAL0000197375	YAR071W	PHO11	S000000094
C3_06000W_A	AHR1	CAL0000197462	YDR034C	LYS14	S000002441
C6_00830C_A	CAN3	CAL0000197464	YEL063C	CAN1	S000000789
C2_00460W_A	SAP30	CAL0000197549	YIL015W	BAR1	S000001277
C3_03360W_A	FCY2	CAL0000197551	YER056C	FCY2	S000000858
CR_07280W_A	FRE30	CAL0000197575	YOR384W	FRE5	S000005911
C3_06320W_A	ALS7	CAL0000197652	YJR004C	SAG1	S000003764
C5_02240W_A	PTH2	CAL0000197726	YEL007W	MIT1	S000000733
C1_02680C_A		CAL0000197774	YKL201C	MNN4	S000001684
C2_03670W_A	SAP99	CAL0000197855	YDR144C	MKC7	S000002551
C7_00100W_A	FRP2	CAL0000197893	YNR060W	FRE4	S000005343
C2_01630W_A		CAL0000197905	YPL113C	YPL113C	S000006034
C5_03320C_A	ZCF14	CAL0000198052	YLR256W	HAP1	S000004246
C1_07120W_A	GAP4	CAL0000198089	YKR039W	GAP1	S000001747
C5_00810C_A		CAL0000198101	YKR066C	CCP1	S000001774
C2_07090C_A	OLE2	CAL0000198173	YGL055W	OLE1	S000003023
C4_01530C_A	ERG251	CAL0000198201	YGR060W	ERG25	S000003292
C1_13800C_A	DUR32	CAL0000198226	YHL016C	DUR3	S000001008
C3_03640W_A	DAL9	CAL0000198232	YJR152W	DAL5	S000003913
CR_00380W_A		CAL0000198246	YPL171C	OYE3	S000006092
C6_04050W_A		CAL0000198262	YMR247C	RKR1	S000004861
C2_05910W_A		CAL0000198318	YDR228C	PCF11	S000002636
CR_05120W_A		CAL0000198390	YFR040W	SAP155	S000001936
C5_03680W_A	FGR27	CAL0000198392	YIL130W	ASG1	S000001392
C2_01010W_A	HGT8	CAL0000198394	YLR081W	GAL2	S000004071
CR_06670W_A	CFL11	CAL0000198431	YOR381W	FRE3	S000005908
C2_05070W_A	FRE9	CAL0000198445	YOR381W	FRE3	S000005908
C2_06720W_A	GRE2	CAL0000198483	YOL151W	GRE2	S000005511
C5_05210W_A		CAL0000198570	YDR182W	CDC1	S000002590
C1_01170C_A	ZCF17	CAL0000198600	YDR213W	UPC2	S000002621
C4_04030W_A	JEN2	CAL0000198669	YKL217W	JEN1	S000001700
C2_01000W_A	HGT7	CAL0000198671	YLR081W	GAL2	S000004071
C1_09200W_A	LYS142	CAL0000198710	YDR034C	LYS14	S000002441
C6_00230W_A		CAL0000198722	YDR284C	DPP1	S000002692
CR_09910W_A	GNP3	CAL0000198749	YCL025C	AGP1	S000000530
C3_03980C_A		CAL0000198761	YGR197C	SNG1	S000003429
C3_00920W_A	ATO1	CAL0000198778	YNR002C	ATO2	S000005285
C1_13510C_A	TGL99	CAL0000198798	YKL140W	TGL1	S000001623
C1_02520W_A	SCW4	CAL0000198806	YGR279C	SCW4	S000003511
C7_02140W_A		CAL0000198851	YKL094W	YJU3	S000001577
C7_04250W_A	TPO2	CAL0000198917	YLL028W	TPO1	S000003951
C3_02880W_A		CAL0000198955	YDL219W	DTD1	S000002378
C6_03700W_A	ALS1	CAL0000199010	YJR004C	SAG1	S000003764
C6_02000W_A	PLB2	CAL0000199062	YOL011W	PLB3	S000005371
C4_03190W_A		CAL0000199070	YNR074C	AIF1	S000005357
C1_04180W_A		CAL0000199081	YDR224C	HTB1	S000002632
C1_02700C_A		CAL0000199083	YDR276C	PMP3	S000002684
C4_06280C_A		CAL0000199151	YNL134C	YNL134C	S000005078
C3_05050W_A	TRY4	CAL0000199253	YDR216W	ADR1	S000002624
C3_00220W_A	HGT19	CAL0000199303	YDR497C	ITR1	S000002905
C1_06060C_A	ACP1	CAL0000199317	YKL192C	ACP1	S000001675
C5_01680C_A	CCN1	CAL0000199358	YDL155W	CLB3	S000002314
C1_06860W_A		CAL0000199366	YOR049C	RSB1	S000005575
C2_06070W_A	FAA2-1	CAL0000199370	YER015W	FAA2	S000000817
CR_07810W_A	YHB5	CAL0000199434	YGR234W	YHB1	S000003466
C6_01180C_A	EBP1	CAL0000199513	YHR179W	OYE2	S000001222
C2_06880C_A	PRB1	CAL0000199552	YEL060C	PRB1	S000000786
C5_01670W_A	DAL52	CAL0000199570	YJR152W	DAL5	S000003913
C4_02690W_A		CAL0000199586	YER169W	RPH1	S000000971
CR_01220W_A		CAL0000199600	YGR260W	TNA1	S000003492
C4_01220C_A		CAL0000199703	YMR305C	SCW10	S000004921
C3_06940W_A		CAL0000199793	YIL082W-A	YIL082W-A	S000003537
C5_05440C_A		CAL0000199819	YIL105C	SLM1	S000001367
C2_00500W_A	ZCF9	CAL0000199823	YML099C	ARG81	S000004565
C3_03210W_A		CAL0000199892	YOR246C	ENV9	S000005772
C3_04770C_A	ZCF32	CAL0000199898	YDR213W	UPC2	S000002621
CR_05090C_A	HGT9	CAL0000199955	YDL194W	SNF3	S000002353
C1_05340C_A	ZCF2	CAL0000199985	YKL015W	PUT3	S000001498
C3_05810C_A	SKN1	CAL0000200054	YPR159W	KRE6	S000006363
C1_10220C_A	TPK1	CAL0000200060	YPL203W	TPK2	S000006124
C2_05560W_A		CAL0000200070	YOL151W	GRE2	S000005511
C6_01030W_A	HAL22	CAL0000200084	YOL064C	MET22	S000005425
C2_02610C_A	HGT20	CAL0000200088	YBR241C	YBR241C	S000000445
CR_05940W_A	CEK2	CAL0000200092	YBL016W	FUS3	S000000112
CR_08670C_A		CAL0000200153	YLR284C	ECI1	S000004274
C7_02080W_A		CAL0000200475	YDR513W	GRX2	S000002921
C7_04090C_A		CAL0000200522	YGR110W	CLD1	S000003342
C7_03620C_A		CAL0000200569	YGR252W	GCN5	S000003484
C1_01980W_A	HGT1	CAL0000200616	YOL156W	HXT11	S000005516
C4_00990W_A		CAL0000200710	YOL122C	SMF1	S000005482
C7_02910W_A	ENA21	CAL0000200780	YDR039C	ENA2	S000002446
CR_01830C_A	PTR2	CAL0000200802	YKR093W	PTR2	S000001801
C2_01210C_A	HNM1	CAL0000200800	YGL077C	HNM1	S000003045
C2_08080C_A	IFM3	CAL0000200856	YNL274C	GOR1	S000005218
C5_01775C_B	OBPALPHA	CAL0000202034	YKR003W	OSH6	S000001711
CR_00220W_A		CAL0000200898	YDR402C	DIT2	S000002810
CR_09920W_A		CAL0000200920	YCL025C	AGP1	S000000530
C2_10180W_A	IFR1	CAL0000200922	YNL134C	YNL134C	S000005078
CR_03450W_A	HXT5	CAL0000200935	YDR497C	ITR1	S000002905
C1_00830W_A		CAL0000200953	YDR338C	YDR338C	S000002746
CR_00650W_A		CAL0000200961	YCR045C	RRT12	S000000641
C5_03640W_A		CAL0000201007	YLR172C	DPH5	S000004162
C5_04260W_A		CAL0000201046	YPL123C	RNY1	S000006044
C1_11730W_A		CAL0000201060	YDL203C	ACK1	S000002362
C6_03270C_A	AYR2	CAL0000201074	YIL124W	AYR1	S000001386
C3_02760C_A		CAL0000201102	YJL076W	NET1	S000003612
C6_00960W_A	CAN1	CAL0000201116	YEL063C	CAN1	S000000789
C4_04470W_A	SAP10	CAL0000201140	YDR144C	MKC7	S000002551
CR_10640W_A		CAL0000201150	YDR338C	YDR338C	S000002746
CR_09680C_A	RTA4	CAL0000201164	YOR049C	RSB1	S000005575
CR_03660C_A		CAL0000201195	YKR056W	TRM2	S000001764
C6_01130W_A		CAL0000201217	YDR410C	STE14	S000002818
C1_04460C_A		CAL0000201235	YNL202W	SPS19	S000005146
C7_00290C_A	HGT13	CAL0000201261	YDR536W	STL1	S000002944
CM_00340W		CAL0000201281	Q0120	BI4	S000007273
C7_00220W_A		CAL0000201352	YCL036W	GFD2	S000000541
C1_01620C_A		CAL0000201366	YOR246C	ENV9	S000005772
C6_03560W_A	POX1	CAL0000201368	YGL205W	POX1	S000003173
C7_02600C_A		CAL0000201372	YCL074W	YCL074W	S000000579
C1_08070W_A	CDR4	CAL0000201396	YOR153W	PDR5	S000005679
C2_04040C_A	DCK2	CAL0000201528	YLR422W	YLR422W	S000004414
C3_05230W_A	SAP3	CAL0000201569	YLR121C	YPS3	S000004111
CM_00240W		CAL0000201585	Q0065	AI4	S000007264
C1_10800C_A	ALP1	CAL0000201651	YNL268W	LYP1	S000005212
C4_07040W_A		CAL0000201661	YDR402C	DIT2	S000002810
C1_00540C_A		CAL0000201663	YML111W	BUL2	S000004579
C1_03440C_A		CAL0000201739	YOR374W	ALD4	S000005901
CR_07290W_A	FRE7	CAL0000201757	YOR381W	FRE3	S000005908
C2_04460W_A	LYS22	CAL0000201759	YDL131W	LYS21	S000002289
C3_06730W_A		CAL0000201761	YDR036C	EHD3	S000002443
C1_04140W_A	IFD6	CAL0000201829	YPL088W	YPL088W	S000006009
C2_09750W_A	LEU42	CAL0000201867	YNL104C	LEU4	S000005048
C1_06320W_A		CAL0000201906	YBR200W	BEM1	S000000404
C6_01400W_A		CAL0000201908	YKR105C	VBA5	S000001813
C5_02630C_A	MNN1	CAL0000201916	YER001W	MNN1	S000000803
C2_03680W_A	SAP98	CAL0000201944	YPL154C	PEP4	S000006075
